country,year,sex,age,suicides_no,population,suicide_rate
Czech Republic,2001,male,55-74 years,285,897842,31.7427788
Czech Republic,2001,male,75+ years,142,191730,74.0624837
Czech Republic,2002,female,15-24 years,26,714488,3.638969444
Czech Republic,2002,female,25-34 years,30,788166,3.806304763
Czech Republic,2002,female,35-54 years,108,1451319,7.441506657
Czech Republic,2002,female,5-14 years,1,563932,0.177326344
Czech Republic,2002,female,55-74 years,86,1105366,7.780228449
Czech Republic,2002,female,75+ years,67,395065,16.95923456
Czech Republic,2002,male,15-24 years,91,746413,12.19164189
Czech Republic,2002,male,25-34 years,180,818936,21.97973956
Czech Republic,2002,male,35-54 years,518,1458286,35.52115292
Czech Republic,2002,male,5-14 years,5,592734,0.843548708
Czech Republic,2002,male,55-74 years,282,921139,30.61427211
Czech Republic,2002,male,75+ years,140,196619,71.20369852
Czech Republic,2003,female,15-24 years,22,694102,3.169562975
Czech Republic,2003,female,25-34 years,29,810207,3.579332195
Czech Republic,2003,female,35-54 years,127,1431458,8.872073089
Czech Republic,2003,female,5-14 years,3,544809,0.550651696
Czech Republic,2003,female,55-74 years,99,1129314,8.76638384
Czech Republic,2003,female,75+ years,74,403426,18.34289312
Czech Republic,2003,male,15-24 years,116,726604,15.96467952
Czech Republic,2003,male,25-34 years,206,842279,24.45745412
Czech Republic,2003,male,35-54 years,572,1441293,39.68658697
Czech Republic,2003,male,5-14 years,6,573339,1.046501285
Czech Republic,2003,male,55-74 years,307,949402,32.33614423
Czech Republic,2003,male,75+ years,158,202317,78.09526634
Czech Republic,2004,female,15-24 years,14,676084,2.070748605
Czech Republic,2004,female,25-34 years,24,829828,2.892165605
Czech Republic,2004,female,35-54 years,99,1417483,6.984210745
Czech Republic,2004,female,5-14 years,3,525775,0.570586277
Czech Republic,2004,female,55-74 years,95,1150600,8.256561794
Czech Republic,2004,female,75+ years,62,411827,15.05486527
Czech Republic,2004,male,15-24 years,110,707587,15.54579154
Czech Republic,2004,male,25-34 years,193,862649,22.37294659
Czech Republic,2004,male,35-54 years,540,1429901,37.76485225
